Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,240,0,0,0,100.000000,0,0.000000,10,4.166667,0,0,0,1,240,10,10
0,858,2530,2.95,109824,0,6795,0,93.404770,0,0.000000,16170,15.694610,2623,2045,578,858,103029,19150,18391
0,934,2750,2.94,119552,0,6368,0,94.373763,0,0.000000,17408,15.380266,2542,2038,504,934,113184,19824,19366
0,935,2755,2.95,119680,0,6383,0,94.366135,0,0.000000,16882,14.900659,2557,2082,475,935,113297,19106,18820
0,934,2748,2.94,119552,0,6598,0,94.158684,0,0.000000,16791,14.865343,2534,1955,579,934,112954,19001,18713
0,932,2750,2.95,119296,0,5701,0,94.981293,0,0.000000,16949,14.920551,2275,1887,388,932,113595,18967,18840
0,933,2748,2.95,119424,0,6575,0,94.173630,0,0.000000,16655,14.758660,2659,2204,455,933,112849,19173,18496
0,929,2744,2.95,118912,0,5435,0,95.210483,0,0.000000,16970,14.954572,2177,1812,365,929,113477,18820,18643
0,933,2762,2.96,119424,0,6596,0,94.153933,0,0.000000,16936,15.010458,2464,2048,416,933,112828,19032,18876
0,934,2762,2.96,119552,0,6976,0,93.803297,0,0.000000,16855,14.972108,2691,2188,503,934,112576,19245,18695
0,931,2755,2.96,119054,0,5985,0,94.706772,0,0.000000,16902,14.948394,2490,2046,444,931,113069,19120,18513
