Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
0,1,5,5.00,496,0,0,0,100.000000,0,0.000000,34,6.854839,0,0,0,1,496,34,32
0,434,1290,2.97,111104,0,4174,0,96.096512,0,0.000000,17956,16.792294,1555,1106,449,434,106930,19648,20480
0,473,1406,2.97,121088,0,3067,0,97.401310,0,0.000000,19224,16.288627,1158,907,251,473,118021,20392,21210
0,470,1391,2.96,120320,0,3066,0,97.385164,0,0.000000,18642,15.898818,1201,956,245,470,117254,19738,20592
0,472,1408,2.98,120832,0,2994,0,97.459224,0,0.000000,18783,15.939680,1140,898,242,472,117838,19845,20960
0,471,1396,2.96,120576,0,2893,0,97.541701,0,0.000000,18718,15.905441,1140,913,227,471,117683,19652,20511
0,471,1407,2.99,120576,0,3391,0,97.106285,0,0.000000,18775,16.021675,1320,1092,228,471,117185,20033,20702
0,473,1411,2.98,121088,0,3347,0,97.157320,0,0.000000,18817,15.981689,1236,972,264,473,117741,19937,20976
0,472,1405,2.98,120832,0,3158,0,97.316315,0,0.000000,18636,15.836973,1209,963,246,472,117674,19736,20812
0,471,1404,2.98,120576,0,3232,0,97.245705,0,0.000000,18838,16.053654,1282,1068,214,471,117344,20010,20607
0,473,1400,2.96,120881,0,3940,0,96.630780,0,0.000000,18587,15.894340,1440,1131,309,473,116941,19939,20362
